,datetime,$schema,meta,id,type,namespace,title,title_url,comment,timestamp,user,bot,notify_url,minor,length,revision,server_url,server_name,server_script_path,wiki,parsedcomment,log_id,log_type,log_action,log_params,log_action_comment,patrolled,file_ts,file_ts_str
109617,2026-09-02 02:00:00,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Hezekiah_Griggs', 'request_id': 'ec237cf3-edb2-493f-b695-a70df8a692ca', 'id': '3fcae575-58c7-443d-8a9c-ba0186efe2fe', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:01.689Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068670}",2064314797.0,edit,0,Hezekiah Griggs,https://en.wikipedia.org/wiki/Hezekiah_Griggs,Adding [[Category:American male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314400,Ser Amantio di Nicolao,False,https://en.wikipedia.org/w/index.php?diff=1372739020&oldid=1372504719,False,"{'old': 8726, 'new': 8773}","{'old': 1372504719, 'new': 1372739020}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Adding <a href=""/wiki/Category:American_male_non-fiction_writers"" title=""Category:American male non-fiction writers"">Category:American male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109619,2026-09-02 02:00:00,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/John_Loveday_(antiquary)', 'request_id': '70c77e8f-03b5-4c81-99cf-130333bc6c25', 'id': '94d60630-4ae7-4de8-82ed-982b5ef668b4', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:02.100Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068686}",2064314800.0,edit,0,John Loveday (antiquary),https://en.wikipedia.org/wiki/John_Loveday_(antiquary),Copying from [[Category:18th-century English diarists]] to [[Category:18th-century English male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314400,Jevansen,False,https://en.wikipedia.org/w/index.php?diff=1372739022&oldid=1294682027,False,"{'old': 4206, 'new': 4265}","{'old': 1294682027, 'new': 1372739022}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Copying from <a href=""/wiki/Category:18th-century_English_diarists"" title=""Category:18th-century English diarists"">Category:18th-century English diarists</a> to <a href=""/wiki/Category:18th-century_English_male_non-fiction_writers"" title=""Category:18th-century English male non-fiction writers"">Category:18th-century English male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109621,2026-09-02 02:00:01,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Bob_Griffiths_(writer)', 'request_id': '6b86ef66-f5ae-45f3-ba6d-156358e5db2e', 'id': 'b0136074-9b5e-47eb-8efd-a3567edf549c', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:02.673Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068704}",2064314804.0,edit,0,Bob Griffiths (writer),https://en.wikipedia.org/wiki/Bob_Griffiths_(writer),Adding [[Category:American male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314401,Ser Amantio di Nicolao,False,https://en.wikipedia.org/w/index.php?diff=1372739025&oldid=1372504718,False,"{'old': 2779, 'new': 2826}","{'old': 1372504718, 'new': 1372739025}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Adding <a href=""/wiki/Category:American_male_non-fiction_writers"" title=""Category:American male non-fiction writers"">Category:American male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109623,2026-09-02 02:00:01,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Narcissus_Luttrell', 'request_id': 'e088518b-499b-4015-bc5a-796aad0c04d8', 'id': 'fae9ca16-ab16-4f85-9b96-f2f99334b9af', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:02.846Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068710}",2064314806.0,edit,0,Narcissus Luttrell,https://en.wikipedia.org/wiki/Narcissus_Luttrell,Copying from [[Category:18th-century English diarists]] to [[Category:18th-century English male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314401,Jevansen,False,https://en.wikipedia.org/w/index.php?diff=1372739027&oldid=1342233825,False,"{'old': 7097, 'new': 7156}","{'old': 1342233825, 'new': 1372739027}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Copying from <a href=""/wiki/Category:18th-century_English_diarists"" title=""Category:18th-century English diarists"">Category:18th-century English diarists</a> to <a href=""/wiki/Category:18th-century_English_male_non-fiction_writers"" title=""Category:18th-century English male non-fiction writers"">Category:18th-century English male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109624,2026-09-02 02:00:02,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/H._Winter_Griffith', 'request_id': '100686d1-6efd-4d08-ad43-321cf1fb413c', 'id': '96e7f155-8b05-4f42-8927-fe3f143455a8', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:03.037Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068724}",2064314811.0,edit,0,H. Winter Griffith,https://en.wikipedia.org/wiki/H._Winter_Griffith,Adding [[Category:American male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314402,Ser Amantio di Nicolao,False,https://en.wikipedia.org/w/index.php?diff=1372739028&oldid=1372551609,False,"{'old': 2922, 'new': 2969}","{'old': 1372551609, 'new': 1372739028}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Adding <a href=""/wiki/Category:American_male_non-fiction_writers"" title=""Category:American male non-fiction writers"">Category:American male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109625,2026-09-02 02:00:01,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Sutton_E._Griggs', 'request_id': 'ef6caafc-157e-4c39-8fa5-2a2b70bc41d4', 'id': 'e42568a0-5ee5-4bbe-bbce-077b1a1f2af2', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:03.214Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068747}",2064314812.0,edit,0,Sutton E. Griggs,https://en.wikipedia.org/wiki/Sutton_E._Griggs,Adding [[Category:American male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314401,Ser Amantio di Nicolao,False,https://en.wikipedia.org/w/index.php?diff=1372739026&oldid=1372504723,False,"{'old': 16174, 'new': 16221}","{'old': 1372504723, 'new': 1372739026}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Adding <a href=""/wiki/Category:American_male_non-fiction_writers"" title=""Category:American male non-fiction writers"">Category:American male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109626,2026-09-02 02:00:02,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Ken_Griffin_(saddler_and_magician)', 'request_id': 'cd6f42fe-bda2-4063-a8fe-7c9796c6eaab', 'id': '1b8bc54b-f0ca-4ba6-875d-0a67ed94e890', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:03.297Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068756}",2064314813.0,edit,0,Ken Griffin (saddler and magician),https://en.wikipedia.org/wiki/Ken_Griffin_(saddler_and_magician),Adding [[Category:American male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314402,Ser Amantio di Nicolao,False,https://en.wikipedia.org/w/index.php?diff=1372739029&oldid=1372504705,False,"{'old': 7848, 'new': 7895}","{'old': 1372504705, 'new': 1372739029}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Adding <a href=""/wiki/Category:American_male_non-fiction_writers"" title=""Category:American male non-fiction writers"">Category:American male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109627,2026-09-02 02:00:01,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Thomas_Hearne_(antiquarian)', 'request_id': '6d650b75-d6d5-4feb-b74e-7498e4ff92b9', 'id': '4aa58c1f-591d-4f18-8f6b-a82f66b52bd9', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:04.300Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068797}",2064314820.0,edit,0,Thomas Hearne (antiquarian),https://en.wikipedia.org/wiki/Thomas_Hearne_(antiquarian),Copying from [[Category:18th-century English diarists]] to [[Category:18th-century English male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314401,Jevansen,False,https://en.wikipedia.org/w/index.php?diff=1372739030&oldid=1369826405,False,"{'old': 12575, 'new': 12634}","{'old': 1369826405, 'new': 1372739030}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Copying from <a href=""/wiki/Category:18th-century_English_diarists"" title=""Category:18th-century English diarists"">Category:18th-century English diarists</a> to <a href=""/wiki/Category:18th-century_English_male_non-fiction_writers"" title=""Category:18th-century English male non-fiction writers"">Category:18th-century English male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109628,2026-09-02 02:00:02,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/G._Edward_Griffin', 'request_id': 'd5595f6b-9582-426d-a0fb-121ec27a68ab', 'id': 'a48e705a-b8b8-4ac9-877d-92ea66ef1326', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:04.603Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068807}",2064314823.0,edit,0,G. Edward Griffin,https://en.wikipedia.org/wiki/G._Edward_Griffin,Adding [[Category:American male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314402,Ser Amantio di Nicolao,False,https://en.wikipedia.org/w/index.php?diff=1372739032&oldid=1372504702,False,"{'old': 27891, 'new': 27938}","{'old': 1372504702, 'new': 1372739032}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Adding <a href=""/wiki/Category:American_male_non-fiction_writers"" title=""Category:American male non-fiction writers"">Category:American male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
109629,2026-09-02 02:00:03,/mediawiki/recentchange/1.0.0,"{'uri': 'https://en.wikipedia.org/wiki/Des_Griffin', 'request_id': 'e77e5ad8-6565-4a36-8d53-e54523aed552', 'id': '20111c80-4f5d-45f3-a8e6-0e91874570c0', 'domain': 'en.wikipedia.org', 'stream': 'mediawiki.recentchange', 'dt': '2026-09-02T02:00:04.689Z', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 6475068813}",2064314825.0,edit,0,Des Griffin,https://en.wikipedia.org/wiki/Des_Griffin,Adding [[Category:American male non-fiction writers]] using [[c:Help:Cat-a-lot|Cat-a-lot]],1788314403,Ser Amantio di Nicolao,False,https://en.wikipedia.org/w/index.php?diff=1372739036&oldid=1372504693,False,"{'old': 3701, 'new': 3748}","{'old': 1372504693, 'new': 1372739036}",https://en.wikipedia.org,en.wikipedia.org,/w,enwiki,"Adding <a href=""/wiki/Category:American_male_non-fiction_writers"" title=""Category:American male non-fiction writers"">Category:American male non-fiction writers</a> using <a href=""https://commons.wikimedia.org/wiki/Help:Cat-a-lot"" class=""extiw"" title=""c:Help:Cat-a-lot"">Cat-a-lot</a>",,,,,,,2026-09-02 02:00:00,20260902_020000
